question,answer
what are the treatments for narcolepsy?,"Stimulant medications to promote wakefulness, Sodium oxybate (a medication that improves nighttime sleep and reduces daytime sleepiness), Antidepressants or other medications to control cataplexy or hallucinations, Lifestyle changes to improve sleep hygiene (e.g., avoiding caffeine and alcohol, establishing a regular sleep schedule)"
what are the treatments for ulcerative colitis?,"Anti-inflammatory medications, Immunosuppressive medications, Biologic therapy, Surgery"
what are the treatments for interstitial cystitis?,"Bladder distention (stretching), Medications to relieve bladder pain, Physical therapy, Nerve stimulation"
what are the treatments for multiple myeloma?,"Chemotherapy, Stem cell transplant, Radiation therapy, Targeted therapy, Immunotherapy"
what are the symptoms of leukemia?,"Fatigue, Fever, Night sweats, Easy bruising or bleeding, Bone pain, Enlarged lymph nodes, Shortness of breath, Pale skin, Frequent infections, Weight loss, Headaches, Dizziness, Confusion, Seizures"
what are the treatments for vertigo?,"Medications to relieve symptoms, Vestibular rehabilitation therapy, Surgery (in severe cases)"
what are the symptoms of brucellosis?,"Fever, Fatigue, Loss of appetite, Joint pain, Muscle pain, Sweating, Headache"
what are the treatments for chickenpox?,"Antiviral medication, Symptomatic treatment"
what are the treatments for osteoporosis?,"Calcium and vitamin D supplements, Medications such as bisphosphonates, hormone therapy, and denosumab, Regular weight-bearing and muscle-strengthening exercise, Fall prevention measures, such as removing hazards and improving lighting in the home"
what are the symptoms of polycystic ovary syndrome?,"Irregular periods, Heavy bleeding, Acne, Excess hair growth, Weight gain, Fatigue, Depression or mood swings"
what are the symptoms of myeloma?,"Bone pain, Fatigue, Increased susceptibility to infections, Kidney damage, Nausea and vomiting, Unexplained weight loss"
what are the treatments for hepatitis a?,"Rest, Adequate nutrition, Fluids, Vaccination"
what are the treatments for skin cancer?,"Surgery, Radiation therapy, Chemotherapy, Immunotherapy"
what are the symptoms of sars (severe acute respiratory syndrome)?,"Fever, Chills, Dry cough, Shortness of breath, Muscle aches, Headache, Sore throat, Malaise"
what are the symptoms of vitiligo?,"White patches on the skin, Premature whitening of hair on scalp, eyelashes, eyebrows or beard, Loss of color inside the mouth, Loss or change in color of the retina"
what are the symptoms of aortic stenosis?,"Shortness of breath, Chest pain or discomfort, Fainting or lightheadedness"
what are the symptoms of hepatitis c?,"Fever, Fatigue, Joint pain, Muscle pain, Loss of appetite, Nausea, Vomiting, Abdominal pain, Dark urine, Jaundice"
what are the symptoms of leprosy?,"Skin lesions, Numbness or lack of sensation, Muscle weakness, Eye problems, Nosebleeds"
what are the symptoms of haemophilus influenzae infection?,"fever, headache, stiff neck, fatigue, ear pain, difficulty breathing"
what is macular degeneration?,Macular degeneration is an eye disease that causes loss of vision in the center of the field of vision.
what are the treatments for insomnia?,"Improving sleep habits, Medications, Cognitive behavioral therapy"
what are the symptoms of about_you?,"who are you, what are you, tell me about yourself, what can you do, help, need help, can you help me"
what are the symptoms of salmonellosis?,"Nausea, Vomiting, Abdominal cramps, Fever, Diarrhea, Headache"
what is irritable bowel syndrome?,Irritable bowel syndrome (IBS) is a common condition that affects the large intestine.
what are the symptoms of vertigo?,"Dizziness, Balance problems, Nausea or vomiting, Headache, Sweating, Ringing in the ears"
what are the symptoms of post-traumatic stress disorder (ptsd)?,"Flashbacks or reliving the traumatic event, Nightmares and sleep disturbances, Avoiding reminders of the traumatic event, Feeling numb or detached from the world, Hyperarousal or being easily startled, Negative changes in thinking or mood"
what are the treatments for sickle cell disease?,"Pain medications, Hydroxyurea to reduce the frequency of painful episodes, Blood transfusions"
what are the treatments for mycobacterium avium complex infection?,"Antibiotics, Antimicrobial therapy, Immune system therapy"
what is appendicitis?,"Appendicitis is a condition where the appendix becomes inflamed and swollen, usually as a result of an infection."
what are the symptoms of ulcerative colitis?,"Abdominal pain, Diarrhea, Rectal bleeding, Urgency to defecate, Weight loss, Fatigue"
what are the treatments for alzheimer's disease?,"Medications, Non-drug treatments (e.g., cognitive stimulation therapy), Supportive therapies, Clinical trials"
what are the symptoms of campylobacteriosis?,"Diarrhea, Abdominal pain, Fever, Nausea, Vomiting"
what are the symptoms of cerebral palsy?,"Muscle stiffness, Muscle weakness, Lack of muscle coordination, Tremors, Difficulty with fine motor skills, Difficulty with gross motor skills, Difficulty with swallowing or speaking"
what are the treatments for tinnitus?,"Identifying and treating underlying causes (e.g., earwax buildup, high blood pressure), Using a white noise machine or other sound therapy, Counseling or therapy to help manage anxiety or depression"
what is rectal cancer?,"Rectal cancer is a type of cancer that occurs in the cells of the rectum, which is the last section of the large intestine."
what are the symptoms of e. coli infection?,"Abdominal pain, Diarrhea, Nausea, Vomiting, Fatigue, Fever, Bloody stool"
what are the treatments for primary biliary cirrhosis?,"Ursodeoxycholic acid (UDCA) to slow the progression of the disease, Vitamin and mineral supplements, Medications to relieve itching or other symptoms, Liver transplant in severe cases"
what are the symptoms of encephalitis?,"Fever, Headache, Stiff neck, Confusion, Seizures, Muscle weakness, Personality changes, Loss of consciousness"
what are the treatments for poliomyelitis?,"Supportive care, Vaccination"
what are the treatments for mitral stenosis?,"Medications to reduce fluid buildup, Surgical repair or replacement of the mitral valve, Lifestyle changes, such as maintaining a healthy weight and quitting smoking"
what are the treatments for heart failure?,"Medications to improve heart function and control symptoms, Lifestyle changes (e.g., reducing salt intake, exercising regularly), Surgery (e.g., implanting a pacemaker, heart transplant)"
what are the symptoms of juvenile idiopathic arthritis?,"Joint pain and swelling, Stiffness, especially in the morning, Limping, High fever, Eye inflammation, Rash"
what are the symptoms of post-traumatic stress disorder (ptsd)?,"Flashbacks or reliving the traumatic event, Nightmares and sleep disturbances, Avoiding reminders of the traumatic event, Feeling numb or detached from the world, Hyperarousal or being easily startled, Negative changes in thinking or mood"
what are the symptoms of hepatitis b?,"Fever, Fatigue, Loss of appetite, Nausea, Vomiting, Abdominal pain, Joint pain, Jaundice"
what is breast cancer?,Breast cancer is a type of cancer that forms in the cells of the breast.
what are the symptoms of post-traumatic stress disorder (ptsd)?,"Flashbacks or reliving the traumatic event, Nightmares and sleep disturbances, Avoiding reminders of the traumatic event, Feeling numb or detached from the world, Hyperarousal or being easily startled, Negative changes in thinking or mood"
what are the symptoms of obsessive-compulsive disorder (ocd)?,"Obsessions, Compulsions, Fear of contamination, Aggressive impulses, Symmetry and orderliness, Excessive doubt, Hoarding, Trichotillomania, Skin picking"
what are the treatments for ehrlichiosis?,"Doxycycline, Other antibiotics"
what are the symptoms of erysipelas?,"Redness, warmth, and swelling of the skin, Fever, Chills, Fatigue, Pain and tenderness in the affected area, Blisters and sores may develop"
what are the treatments for glaucoma?,"Eye drops, Laser surgery, Trabeculectomy"
what are the symptoms of thyroid disease?,"Fatigue, Weight changes, Muscle weakness, Hair loss, Depression, Difficulty sleeping, Rapid heartbeat"
what are the treatments for ovarian cancer?,"Surgery, Chemotherapy, Targeted therapy"
what are the symptoms of urinary tract infection (uti)?,"Burning sensation during urination, Frequent urge to urinate, Passing small amounts of urine, Cloudy urine, Strong-smelling urine, Pelvic pain"
what are the treatments for leukemia?,"Chemotherapy, Radiation therapy, Stem cell transplant, Targeted therapy, Biological therapy"
what are the symptoms of bronchitis?,"Persistent cough, Mucus production, Wheezing, Shortness of breath, Chest discomfort"
what are the symptoms of cirrhosis of the liver?,"Fatigue, Weakness, Loss of appetite, Nausea and vomiting, Abdominal pain and swelling, Jaundice, Itchy skin, Easy bruising and bleeding, Spider-like blood vessels on the skin"
what are the symptoms of greeting?,"Hi, Hey, How are you, Is anyone there?, Hello, Good day"
what are the symptoms of neonatal tetanus?,"Stiffness and spasms in the muscles, Irritability, Difficulty feeding, Difficulty breathing, Fever, Sweating, High blood pressure, Rapid heart rate"
what is group a streptococcal infection?,Group A streptococcal infection is a bacterial infection caused by group A streptococcus.
what are the treatments for blood clotting disorders?,"Blood thinners, Anticoagulants, Platelet inhibitors, Iron supplements (in some cases)"
what are the treatments for paget's disease of bone?,"Bisphosphonate medications, Calcitonin, Surgery"
what are the symptoms of menopause?,"Irregular periods, Hot flashes, Night sweats, Sleep problems, Mood changes, Weight gain and slowed metabolism, Thinning hair and dry skin, Loss of breast fullness, Vaginal dryness, Decreased sex drive, Pain during sex, Urinary incontinence, Increased urination or urgency"
what are the symptoms of about_you?,"who are you, what are you, tell me about yourself, what can you do, help, need help, can you help me"
what are the symptoms of leprosy?,"Skin lesions, Numbness or lack of sensation, Muscle weakness, Eye problems, Nosebleeds"
what are the symptoms of hookworm infection?,"Itching and a rash at the site of infection, Abdominal pain, Diarrhea, Fatigue, Loss of appetite"
what are the symptoms of angina pectoris?,"Chest pain or discomfort, Pain or discomfort in the arms, neck, jaw, shoulder or back, Shortness of breath"
what are the symptoms of vibrio infection?,"Diarrhea, Abdominal pain, Nausea and vomiting, Fever, Chills, Low blood pressure"
what are the symptoms of west nile virus infection?,"Fever, Headache, Body aches, Fatigue, Back pain, Skin rash, Swollen lymph nodes"
